DateTime,AddedIPs,RemovedIPs
1582257009,1548,1667
1582343409,1562,1689
1582429808,1297,1598
1582512609,1056,2275
1582595408,1417,1988
1582681808,1515,1660
1582768209,1562,3240
1582851009,1987,2065
1582937409,1702,2243
1583020209,1260,0
1583106609,997,1500
1583193010,1475,1701
1583279409,2036,1659
1583362209,1965,1611
1583445010,2769,2079
1583531410,1984,1963
1583617809,1600,1643
1583700609,1106,1583
1583783409,1281,2043
1583869809,1383,1857
1583956210,1753,1962
1584042609,1391,2160
1584125410,1359,1562
1584208210,1144,1402
1584294609,1042,1323
1584381010,1363,1926
1584467410,1699,1878
1584550210,1524,1785
1584636610,1480,1790
1584723011,1465,2237
1584805810,1310,1305
1584892209,1193,1121
1584978610,1328,1440
1585065009,1422,1429
1585147808,1436,1419
1585234209,1517,1320
1585317009,1561,1630
1585403410,1364,1503
1585486210,1173,1245
1585572610,1330,1682
1585655409,1420,1656
1585738209,1238,1307
1585824610,1448,1910
1585911009,1283,2008
1585997409,1206,1649
1586083810,1224,1574
1586170210,1366,1799
1586256612,1760,1974
1586343010,2101,1824
1586425809,1861,1522
1586512210,1725,1942
1586595008,1391,2124
1586681412,1540,1566
1586767809,1505,1829
1586854208,2021,2135
1586937009,1707,2126
1587019808,1412,1907
1587102608,1558,1844
1587189009,1413,1425
1587271809,1243,1870
1587354608,1103,1710
1587441008,1556,1548
1587523807,1576,1538
1587606608,1930,1688
1587693008,1644,1259
1587779409,1536,1054
1587865808,1148,1427
1587948609,1086,1675
1588031409,1335,0
1588114208,1897,2145
1588197008,1611,1670
1588279808,1556,1796
1588366207,1213,1517
1588449008,1069,1282
1588531808,1661,1705
1588618209,1626,1692
1588701007,1455,1724
1588787408,1422,1497
1588873808,1483,1395
1588960208,1332,1413
1589043008,1201,1250
1589125809,908,1026
1589208608,1156,1609
1589291408,1501,1472
1589377807,1572,1539
1589464208,1461,1377
1589550607,1448,1192
1589637007,1367,1272
1589723408,1151,966
1589809807,1802,1504
1589896207,1959,1514
1589982608,1692,1651
1590069007,1617,1747
1590155408,2067,1451
1590241808,1915,1298
1590328208,1508,1067
1590411007,1237,1411
1590497408,1513,1606
1590580207,2122,1493
1590663008,1256,1952
1590749408,1452,1886
1590835807,1291,1247
1590922208,981,1010
1591008608,963,1514
1591095007,1373,1732
1591181408,1431,2089
1591267807,1645,2720
1591354207,1317,2045
1591440608,1107,1708
1591527007,1057,1287
1591613408,1094,1371
1591699808,1399,1359
1591786207,1417,1712
1591872608,1476,1409
1591959008,1379,1493
1592045408,1054,1282
1592131808,933,1101
1592218222,927,1501
1592301008,1152,1762
1592387408,1202,1593
1592473811,1264,1479
1592560208,1267,1647
1592646609,1125,1481
1592729407,799,1200
1592815810,996,1358
1592898607,1249,1185
1592981410,1117,1333
1593067809,1347,1396
1593154208,1257,1597
1593237008,1067,1248
1593323409,973,1221
1593409809,960,1520
1593496207,1509,1391
1593582609,1328,1351
1593669008,1327,1179
1593755408,1068,1218
1593838209,1001,1109
1593924609,961,1033
1594011008,872,1495
1594097409,1199,2020
1594180208,1036,1786
1594263008,1292,1849
1594345808,1171,1521
1594432209,1079,1369
1594518608,908,1364
1594605008,815,1678
1594691408,1189,1796
1594777808,1236,1494
1594860607,1114,1552
1594947008,2208,1455
1595033409,1516,1219
1595119809,1665,1141
1595206208,1997,1660
1595292608,1729,1950
1595375408,1526,1
1595458207,1881,1856
1595544607,1867,1485
1595627409,1282,1538
1595710209,1720,1125
1595796608,1443,1251
1595883009,1284,1469
1595969409,1272,2006
1596055808,1587,1482
1596142208,1384,1444
1596228609,1310,1184
1596315007,988,1198
1596397808,828,1786
1596484208,1193,1774
1596570607,1269,1698
1596653409,1284,1576
1596736209,1350,1605
1596822609,1321,1518
1596909009,1147,1470
1596995409,947,1051
1597078208,1224,1725
1597161010,1186,1469
1597243809,1250,1548
1597326611,1178,1517
1597409409,1246,1427
1597492208,1087,1232
1597575010,929,1411
1597657807,1166,2104
1597740608,1217,2029
1597823411,1270,1842
1597906209,1648,1787
1597989009,1576,1982
1598075409,1387,1493
1598161808,1147,1236
1598248210,1131,1398
1598334609,1529,2359
1598421009,1736,1396
1598507409,1571,1432
1598593810,1393,1489
1598680208,1345,1057
1598763010,929,923
1598845808,858,1205
1598928609,1273,1602
1599015008,1269,4014
1599101407,1454,1642
1599187809,3871,1123
1599270607,2005,1137
1599353408,1878,908
1599439810,2190,1505
1599526210,1442,1331
1599612607,1448,1446
1599699008,1365,1392
1599785408,1167,1150
1599871808,1248,1056
1599958209,1021,1008
1600044608,892,1260
1600131009,1309,1187
1600217409,1278,1251
1600303809,1288,1428
1600386610,1245,37
1600469408,1229,1190
1600555809,1532,891
1600638609,933,913
1600721409,1308,1298
1600804208,1244,1054
1600887010,1104,1240
1600973407,1233,1230
1601059809,1178,1108
1601142610,944,895
1601229008,901,897
1601311810,1364,1438
1601398210,1182,1179
1601484609,1316,1372
1601571009,1313,1121
1601657408,1621,1193
1601740208,947,1067
1601826608,986,1098
1601913011,1284,1347
1601995809,1312,976
1602082209,1185,1213
1602168608,1224,1146
1602255009,1392,1085
1602341410,1419,815
1602427808,1225,810
1602514210,1611,1178
1602597010,1621,1142
1602683409,1664,1166
1602769810,1748,1229
1602856209,1685,1294
1602942608,1306,1323
1603029011,1373,1005
1603111810,1550,1579
1603198209,1631,1208
1603281009,1774,1250
1603367409,1929,1650
1603453809,1618,1182
1603540209,1468,5486
1603626610,1117,885
1603713008,1315,1167
1603799410,1613,1220
1603885811,1734,1411
1603972211,1748,1154
1604058611,1681,1185
1604145010,1533,886
1604231409,1314,808
1604317810,1440,1206
1604404208,1538,1205
1604487009,1686,1299
1604569810,1506,1335
1604656210,1702,1343
1604742610,1583,1017
1604829010,1380,877
1604911810,1318,1260
1604998211,1672,1416
1605084611,1642,1294
1605171010,2496,1362
1605257410,1658,1658
1605343811,1422,1324
1605430210,1172,1126
1605516612,1338,1352
1605599411,1637,1441
1605685810,2454,1536
1605772212,1929,1471
1605858611,1862,1506
1605941409,1420,1041
1606027812,1117,990
1606114212,1108,1261
1606197011,1209,1367
1606283410,1788,1206
1606366212,1450,1247
1606449011,2625,1341
1606535411,1816,997
1606618209,1410,977
1606704611,1182,1275
1606787410,1588,1198
1606870211,1587,1360
1606953009,1488,0
1607039409,1527,3374
1607125811,1392,2062
1607212210,1383,1925
1607298609,1310,2745
1607381410,1701,1910
1607467811,1708,1458
1607554211,1655,1724
1607640610,1640,1152
1607727011,1705,1220
1607813412,1336,988
1607896210,1021,878
1607982609,1446,1338
1608069010,1773,1338
1608155411,1769,1382
1608238211,1810,1431
1608324610,1676,1211
1608407411,1727,1352
1608490210,1411,919
1608576610,1616,1438
1608659410,1724,1321
1608742210,1423,1078
1608825013,1635,1130
1608907809,1238,1123
